,from_dest,co2_emissions,price,from_airport_code,dest_airport_code,distance
178,"SYD,OSL",1969000.0,1616.0,SYD,OSL,15929.734901508004
179,"SYD,LIS",2074000.0,1904.0,SYD,LIS,18176.356321259256
180,"SYD,HND",1205000.0,4038.0,SYD,HND,7818.154283751557
181,"SYD,MNL",872000.0,1147.0,SYD,MNL,6262.812827066764
182,"SYD,SVO",1544000.0,1238.0,SYD,SVO,14514.295220806807
183,"SYD,KUL",722000.0,546.0,SYD,KUL,6584.881907401827
184,"SYD,FCO",1886000.0,1515.0,SYD,FCO,16343.52896192501
185,"SYD,JNB",1852000.0,2099.5,SYD,JNB,11023.823468292065
186,"SYD,AMS",1859000.0,1531.0,SYD,AMS,16658.63614801806
187,"SYD,SIN",713000.0,861.0,SYD,SIN,6293.4426079209525
188,"SYD,MAD",1977000.0,1451.0,SYD,MAD,17672.82604767993
189,"SYD,ICN",1129000.0,2328.0,SYD,ICN,8342.753253633262
190,"SYD,BKK",825000.0,662.0,SYD,BKK,7514.638226417631
191,"SYD,LIM",1868000.0,1698.0,SYD,LIM,12793.82807895298
192,"SYD,TPE",868000.0,1037.0,SYD,TPE,7285.423917552104
193,"SYD,DXB",1410000.0,1148.0,SYD,DXB,12043.87951814563
194,"SYD,DOH",1266000.0,1207.0,SYD,DOH,12375.009237408805
195,"SYD,SAW",1591000.0,1340.5,SYD,SAW,14917.861999620178
196,"SYD,MAN",1990000.0,1637.0,SYD,MAN,17012.318392750774
197,"SYD,DME",1787000.0,3371.0,SYD,DME,14480.121648139195
198,"SYD,LGW",2012000.0,5768.0,SYD,LGW,17021.5694866357
199,"SYD,CPT",1478000.0,2934.0,SYD,CPT,10989.454615120476
200,"SYD,LAX",1335000.0,1041.0,SYD,LAX,12061.127845510531
201,"SYD,ORD",1574000.0,1186.0,SYD,ORD,14862.171466882979
202,"SYD,ARN",1923000.0,1616.0,SYD,ARN,15597.919154492502
203,"SYD,MCO",1607000.0,1221.0,SYD,MCO,15038.274677017676
204,"SYD,PHX",1436000.0,1114.0,SYD,PHX,12558.415999724924
205,"SYD,IST",1751000.0,1503.0,SYD,IST,14971.442859253953
206,"SYD,IAH",1609000.0,1612.0,SYD,IAH,13835.826751874198
207,"SYD,MIA",1734000.0,1264.0,SYD,MIA,15021.843770321426
208,"SYD,LHR",1914000.0,1223.0,SYD,LHR,17020.653891438724
209,"SYD,SFO",1387000.0,1345.0,SYD,SFO,11949.742776318677
210,"SYD,FLL",1616000.0,1221.0,SYD,FLL,15046.696358325718
211,"SYD,ATL",1631000.0,1221.0,SYD,ATL,14942.891005195475
212,"MEL,ALG",1871000.0,2408.0,MEL,ALG,16637.813289253078
213,"SYD,ZRH",1894000.0,1609.0,SYD,ZRH,16567.988193977875
214,"SYD,CLT",1701000.0,1259.0,SYD,CLT,15297.507259039543
215,"MEL,VIE",1893000.0,1628.0,MEL,VIE,15731.121010560577
216,"MEL,SYD",233000.0,132.0,MEL,SYD,705.4017258143423
217,"SYD,SEA",1390000.0,1114.0,SYD,SEA,12472.063490659322
218,"MEL,CNF",2185000.0,2361.0,MEL,CNF,13577.419138501002
219,"MEL,GRU",2250500.0,1449.0,MEL,GRU,13117.809715302581
220,"SYD,JFK",1915000.0,1370.0,SYD,JFK,16013.544156553031
221,"MEL,SCL",2092000.0,1168.0,MEL,SCL,11295.398131677659
222,"SYD,SGN",784000.0,737.0,SYD,SGN,6846.130404028111
223,"MEL,YYZ",1627500.0,1281.0,MEL,YYZ,16251.71636474605
224,"MEL,SZX",1950000.0,6488.0,MEL,SZX,7450.170137582149
225,"MEL,AEP",1366000.0,1880.0,MEL,AEP,11631.727180667207
226,"MEL,XIY",862000.0,3874.0,MEL,XIY,8843.142841293244
227,"MEL,CTU",1457500.0,2669.0,MEL,CTU,8697.440511425402
228,"MEL,BRU",1908000.0,1661.0,MEL,BRU,16586.84723801912
229,"MEL,CGO",839000.0,3874.0,MEL,CGO,8642.314699762239
230,"MEL,SHA",893000.0,5893.0,MEL,SHA,8037.749933282128
231,"MEL,DUB",1968500.0,1560.0,MEL,DUB,17197.284695403305
232,"MEL,VCP",2778000.0,6444.0,MEL,VCP,13152.383521901544
233,"MEL,HGH",880000.0,3866.0,MEL,HGH,7965.556407814234
234,"MEL,CDG",1881000.0,1510.0,MEL,CDG,16756.8997666588
235,"MEL,CPH",1870000.0,1907.0,MEL,CPH,15963.88062230257
236,"MEL,CAN",1363000.0,2613.0,MEL,CAN,7548.481349240203
237,"MEL,ADD",1667000.0,3544.0,MEL,ADD,12025.309177333938
238,"MEL,BOM",1146000.0,786.0,MEL,BOM,9806.304478468059
239,"MEL,PEK",869000.0,1680.0,MEL,PEK,9113.018996073637
240,"MEL,PVG",1089000.0,3803.0,MEL,PVG,8017.369471881036
241,"MEL,MUC",1844500.0,1892.0,MEL,MUC,16086.132597638458
242,"MEL,MXP",1824000.0,1718.0,MEL,MXP,16312.208504530916
243,"MEL,BOG",1892000.0,1207.0,MEL,BOG,14627.319373473007
244,"MEL,NBO",1770000.0,3278.0,MEL,NBO,11481.789474214003
245,"MEL,CAI",1617000.0,2021.0,MEL,CAI,13941.733539115694
246,"MEL,DEL",1197500.0,753.0,MEL,DEL,10191.75988031708
247,"MEL,CMN",1994000.0,2130.0,MEL,CMN,17484.235435380517
248,"MEL,FRA",1774000.0,1337.0,MEL,FRA,16312.258092604377
249,"MEL,CGK",746000.0,739.0,MEL,CGK,5210.565565446879
250,"MEL,PTY",1785000.0,4878.0,MEL,PTY,14569.832256952575
251,"MEL,NRT",1137000.0,1371.0,MEL,NRT,8178.8389282735025
252,"MEL,ATH",1821000.0,1701.0,MEL,ATH,14914.674437954494
253,"MEL,LIS",1995000.0,2110.0,MEL,LIS,17746.453723016417
254,"MEL,MEX",1720000.0,1503.0,MEL,MEX,13578.137132640459
255,"MEL,BLR",1112000.0,827.0,MEL,BLR,8984.632754646636
256,"MEL,SVO",1585000.0,1405.0,MEL,SVO,14425.314822535622
257,"MEL,OSL",1878000.0,1839.0,MEL,OSL,15945.197969498646
258,"MEL,HND",1007000.0,2807.0,MEL,HND,8159.0277002927
259,"MEL,JNB",1278000.0,1448.0,MEL,JNB,10319.066942086649
260,"MEL,MNL",864000.0,923.0,MEL,MNL,6313.545129687329
261,"MEL,KUL",748000.0,595.0,MEL,KUL,6314.984433906119
262,"MEL,MAD",1956000.0,1997.0,MEL,MAD,17284.656973166682
263,"MEL,FCO",1794000.0,1560.0,MEL,FCO,15987.88055500093
264,"MEL,AMS",1847000.0,1868.0,MEL,AMS,16538.425106763196
265,"MEL,BKK",826000.0,680.0,MEL,BKK,7331.702523937914
266,"MEL,SIN",704000.0,666.0,MEL,SIN,6033.041011603448
267,"MEL,LIM",1908000.0,1160.0,MEL,LIM,12969.862161058587
268,"MEL,DXB",1452000.0,1165.0,MEL,DXB,11645.110644503331
269,"MEL,DOH",1291000.0,1350.0,MEL,DOH,11957.51405972111
270,"MEL,ICN",1001000.0,1290.0,MEL,ICN,8566.077569854717
271,"MEL,DME",1898000.0,3696.0,MEL,DME,14382.794094326662
272,"MEL,MAN",1935000.0,1605.0,MEL,MAN,16958.404566150242
273,"MEL,TPE",827000.0,1149.5,MEL,TPE,7400.713928604025
274,"MEL,CPT",1305000.0,1777.0,MEL,CPT,10304.844939114453
275,"MEL,LAX",1487000.0,980.0,MEL,LAX,12757.896953595347
276,"MEL,SAW",1579000.0,1337.0,MEL,SAW,14583.128483925046
277,"MEL,ARN",1800000.0,1582.0,MEL,ARN,15583.360058780123
278,"MEL,LGW",2029000.0,5771.0,MEL,LGW,16900.211070727593
279,"MEL,MCO",1673000.0,1363.0,MEL,MCO,15638.174024523276
280,"MEL,IST",1678000.0,1395.0,MEL,IST,14640.572331042997
281,"MEL,ORD",1621000.0,1358.0,MEL,ORD,15556.452179190566
282,"MEL,IAH",1498000.0,1592.0,MEL,IAH,14484.687537586438
283,"MEL,LHR",1919000.0,1397.0,MEL,LHR,16908.8486311556
284,"MEL,PHX",1536000.0,1259.0,MEL,PHX,13247.805436638942
285,"MEL,SFO",1350000.0,1188.0,MEL,SFO,12653.563707770269
286,"MEL,ATL",1650000.0,1441.0,MEL,ATL,15591.78135618521
287,"MEL,MIA",1714000.0,1498.0,MEL,MIA,15593.411804220495
288,"VIE,ALG",326000.0,894.5,VIE,ALG,1672.8017725137458
289,"MEL,CLT",1661000.0,1519.0,MEL,CLT,15951.137188428442
290,"MEL,FLL",1700000.0,1441.0,MEL,FLL,15620.380807408268
291,"VIE,MEL",1823000.0,1358.5,VIE,MEL,15731.121010560577
